2846,-1
2834,-1
3134,-1
3734,-1
3434,-1
3446,-1
446,-1
1046,-1
1646,-1
2246,-1
134,-1
434,-1
734,-1
1034,-1
1334,-1
1634,-1
1934,-1
2234,-1
2534,-1
2822,-1
2810,-1
3110,-1
3710,-1
3410,-1
3422,-1
422,-1
1022,-1
1622,-1
2222,-1
110,-1
410,-1
710,-1
1010,-1
1310,-1
1610,-1
1910,-1
2210,-1
2510,-1
2798,-1
2786,-1
3086,-1
3686,-1
3386,-1
3398,-1
398,-1
998,-1
1598,-1
2198,-1
86,-1
386,-1
686,-1
986,-1
1286,-1
1586,-1
1886,-1
2186,-1
2486,-1
2774,-1
2762,-1
3062,-1
3662,-1
3362,-1
3374,-1
374,-1
974,-1
1574,-1
2174,-1
62,-1
362,-1
662,-1
962,-1
1262,-1
1562,-1
1862,-1
2162,-1
2462,-1
2750,-1
2738,-1
3038,-1
3638,-1
3338,-1
3350,-1
350,-1
950,-1
1550,-1
2150,-1
38,-1
338,-1
638,-1
938,-1
1238,-1
1538,-1
1838,-1
2138,-1
2438,-1
2726,-1
2714,-1
3014,-1
2702,-1
3302,-1
3614,-1
3314,-1
3326,-1
326,-1
926,-1
1526,-1
2126,-1
14,-1
314,-1
614,-1
914,-1
1214,-1
1514,-1
1814,-1
2114,-1
2414,-1
302,-1
902,-1
1502,-1
2102,-1
3146,-1
3746,-1
146,-1
746,-1
1346,-1
1946,-1
2546,-1
3122,-1
3722,-1
122,-1
722,-1
1322,-1
1922,-1
2522,-1
3098,-1
3698,-1
98,-1
698,-1
1298,-1
1898,-1
2498,-1
3074,-1
3674,-1
74,-1
674,-1
1274,-1
1874,-1
2474,-1
3050,-1
3650,-1
50,-1
650,-1
1250,-1
1850,-1
2450,-1
3026,-1
3002,-1
3602,-1
3626,-1
26,-1
626,-1
1226,-1
1826,-1
2426,-1
2,-1
602,-1
1202,-1
1802,-1
2402,-1
